time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 00:00:00,2063.21,2069.86,2062.29,2066.57,8431,19,0
2024-01-02 04:00:00,2066.56,2074.79,2063.98,2074.41,10019,19,0
2024-01-02 08:00:00,2074.5,2078.83,2071.8,2077.04,16401,19,0
2024-01-02 12:00:00,2077.04,2077.74,2064.81,2066.22,20671,19,0
2024-01-02 16:00:00,2066.26,2070.58,2055.82,2062.64,29340,19,0
2024-01-02 20:00:00,2062.69,2064.91,2057.97,2058.79,9085,19,0
2024-01-03 00:00:00,2059.22,2062.51,2058.66,2062.45,7394,19,0
2024-01-03 04:00:00,2062.47,2065.91,2061.55,2064.03,8550,19,0
2024-01-03 08:00:00,2064.05,2065.37,2054.16,2056.76,15102,19,0
2024-01-03 12:00:00,2056.8,2057.09,2038.64,2040.93,22883,19,0
2024-01-03 16:00:00,2040.94,2048.72,2030.59,2033.33,32042,19,0
2024-01-03 20:00:00,2033.33,2042.27,2030.58,2041.5,18786,19,0
2024-01-04 00:00:00,2042.03,2043.9,2040.09,2042.2,8125,9,0
2024-01-04 04:00:00,2042.19,2046.83,2042.19,2043.73,12575,19,0
2024-01-04 08:00:00,2043.74,2050.88,2043.61,2047.97,23492,19,0
2024-01-04 12:00:00,2047.97,2050.79,2038.76,2040.12,25645,19,0
2024-01-04 16:00:00,2040.18,2047.68,2036.17,2043.23,35363,19,0
2024-01-04 20:00:00,2043.25,2044.85,2041.53,2043.22,13712,19,0
2024-01-05 00:00:00,2043.79,2048.22,2042.77,2046.11,8886,19,0
2024-01-05 04:00:00,2046.13,2047.83,2043.03,2044.42,10156,19,0
2024-01-05 08:00:00,2044.44,2046.96,2038.4,2038.84,20466,19,0
2024-01-05 12:00:00,2038.85,2041.85,2024.35,2040.03,26449,19,0
2024-01-05 16:00:00,2040.04,2063.88,2038.69,2041.93,47516,19,0
2024-01-05 20:00:00,2041.94,2050.28,2040.44,2045.36,19261,19,0
2024-01-08 00:00:00,2044.88,2046.55,2042.87,2043.74,8504,19,0
2024-01-08 04:00:00,2043.71,2043.75,2026.96,2030.69,13960,19,0
2024-01-08 08:00:00,2030.69,2033.28,2026.45,2029.01,24791,19,0
2024-01-08 12:00:00,2029.02,2029.39,2016.63,2018.93,27729,19,0
2024-01-08 16:00:00,2018.87,2036.86,2018.53,2027.64,34932,19,0
2024-01-08 20:00:00,2027.63,2029.77,2026.1,2027.93,12942,19,0
2024-01-09 00:00:00,2028.09,2035.54,2027.94,2032.2,9120,19,0
2024-01-09 04:00:00,2032.16,2035.79,2030.33,2032.76,10999,19,0
2024-01-09 08:00:00,2032.75,2038.13,2031.14,2035.41,22140,19,0
2024-01-09 12:00:00,2035.42,2041.8,2031.61,2038.64,24891,19,0
2024-01-09 16:00:00,2038.64,2040.06,2026.05,2027.67,35319,19,0
2024-01-09 20:00:00,2027.66,2031.06,2026.75,2029.98,13717,19,0
